Hungary, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      ASFR
1954   16     1938    0.01242
1954   16     1937    0.01641
1954   17     1937    0.03462
1954   17     1936    0.04280
1954   18     1936    0.07071
1954   18     1935    0.08497
1954   19     1935    0.11721
1954   19     1934    0.13332
1954   20     1934    0.16621
1954   20     1933    0.17485
1954   21     1933    0.19704
1954   21     1932    0.19925
1954   22     1932    0.20575
1954   22     1931    0.20840
1954   23     1931    0.20722
1954   23     1930    0.20411
1954   24     1930    0.19485
1954   24     1929    0.19873
1954   25     1929    0.18653
1954   25     1928    0.18388
1954   26     1928    0.17842
1954   26     1927    0.17707
1954   27     1927    0.16278
1954   27     1926    0.16826
1954   28     1926    0.15352
1954   28     1925    0.15560
1954   29     1925    0.14230
1954   29     1924    0.14259
1954   30     1924    0.13215
1954   30     1923    0.13150
1954   31     1923    0.11887
1954   31     1922    0.11853
1954   32     1922    0.10368
1954   32     1921    0.10545
1954   33     1921    0.09371
1954   33     1920    0.09218
1954   34     1920    0.08060
1954   34     1919    0.08540
1954   35     1919    0.07560
1954   35     1918    0.07296
1954   36     1918    0.06313
1954   36     1917    0.06176
1954   37     1917    0.06177
1954   37     1916    0.05477
1954   38     1916    0.05068
1954   38     1915    0.04147
1954   39     1915    0.04582
1954   39     1914    0.04019
1954   40     1914    0.03255
1954   40     1913    0.03019
1954   41     1913    0.02525
1954   41     1912    0.02292
1954   42     1912    0.01751
1954   42     1911    0.01531
1954   43     1911    0.01291
1954   43     1910    0.01067
1954   44     1910    0.00739
1954   44     1909    0.00551
1954   45     1909    0.00421
1954   45     1908    0.00327
1954   46     1908    0.00190
1954   46     1907    0.00118
1954   47     1907    0.00056
1954   47     1906    0.00059
1954   48     1906    0.00032
1954   48     1905    0.00012
1954   49     1905    0.00022
1954   49     1904    0.00009
1954   50     1904    0.00021
1954   50     1903    0.00020
1954   51     1903    0.00016
1954   51     1902    0.00013
1954   52     1902    0.00008
1954   52     1901    0.00006
1954   53     1901    0.00003
1954   53     1900    0.00002
1954   54     1900    0.00001
1954   54     1899    0.00000
1954   55+       .    0.00000
1955   12-       .    0.00000
1955   13     1942    0.00003
1955   13     1941    0.00009
1955   14     1941    0.00059
1955   14     1940    0.00120
1955   15     1940    0.00290
1955   15     1939    0.00505
1955   16     1939    0.01215
1955   16     1938    0.01858
1955   17     1938    0.03320
1955   17     1937    0.04834
1955   18     1937    0.07673
1955   18     1936    0.09130
1955   19     1936    0.12100
1955   19     1935    0.13842
1955   20     1935    0.15935
1955   20     1934    0.18017
1955   21     1934    0.19592
1955   21     1933    0.19783
1955   22     1933    0.19895
1955   22     1932    0.21123
1955   23     1932    0.19390
1955   23     1931    0.20166
1955   24     1931    0.18313
1955   24     1930    0.19346
1955   25     1930    0.16896
1955   25     1929    0.18089
1955   26     1929    0.15353
1955   26     1928    0.17301
1955   27     1928    0.14418
1955   27     1927    0.16042
1955   28     1927    0.13171
1955   28     1926    0.14263
1955   29     1926    0.12434
1955   29     1925    0.13394
1955   30     1925    0.11234
1955   30     1924    0.12167
1955   31     1924    0.10147
1955   31     1923    0.10859
1955   32     1923    0.09345
1955   32     1922    0.10247
1955   33     1922    0.08346
1955   33     1921    0.09033
1955   34     1921    0.07449
1955   34     1920    0.07781
1955   35     1920    0.06328
1955   35     1919    0.06875
1955   36     1919    0.05654
1955   36     1918    0.05849
1955   37     1918    0.04771
1955   37     1917    0.04732
1955   38     1917    0.04346
1955   38     1916    0.04330
1955   39     1916    0.03489
1955   39     1915    0.03117
1955   40     1915    0.03289
1955   40     1914    0.03033
1955   41     1914    0.02144
1955   41     1913    0.01996
1955   42     1913    0.01539
1955   42     1912    0.01606
1955   43     1912    0.00968
1955   43     1911    0.01031
1955   44     1911    0.00711
1955   44     1910    0.00580
1955   45     1910    0.00375
1955   45     1909    0.00347
1955   46     1909    0.00152
1955   46     1908    0.00135
1955   47     1908    0.00052
1955   47     1907    0.00051
1955   48     1907    0.00025
1955   48     1906    0.00009
1955   49     1906    0.00021
1955   49     1905    0.00016
1955   50     1905    0.00012
1955   50     1904    0.00010
1955   51     1904    0.00007
1955   51     1903    0.00006
1955   52     1903    0.00003
1955   52     1902    0.00003
1955   53     1902    0.00001
1955   53     1901    0.00001
1955   54     1901    0.00001
1955   54     1900    0.00000
1955   55+       .    0.00000
